Lefebvre Georges (1874-08-06 00:00:00) - Napóleon (963280256X) Gondolat [1975] ár:1500.0 Ft, témája:történelem, oldaszáma:783, honoránium:160.0 Ft 
Fable Vavyan (1956-03-20 00:00:00) - Tűzvarázs (9789639300347) FABYEN KIADÓ [2010] ár:1836.0 Ft, témája:krimi, oldaszáma:488, honoránium:436.0 Ft 
Jókai Mór (1825-02-18 00:00:00) - 1848 - a magyar szabadságharcz 1848-49-ben (9789630960519) KOSSUTH KIADÓ ZRT. [2009] ár:6641.0 Ft, témája:történelem, oldaszáma:476, honoránium:630.0 Ft 
Fable Vavyan (1956-03-20 00:00:00) - Vészbejárat (9789639300279) Fabyen Kiadó [2008] ár:2095.0 Ft, témája:krimi, oldaszáma:472, honoránium:399.0 Ft 
Móra Ferenc (1879-07-19 00:00:00) - Aranykoporsó (9789630779180) EURÓPA KÖNYVKIADÓ KFT. [2005] ár:808.0 Ft, témája:szépirodalom, oldaszáma:472, honoránium:961.0 Ft 
Harrison Harry (1925-03-12 00:00:00) - Fagyos éden (9789639828605) METROPOLIS MEDIA GROUP [2010] ár:3791.0 Ft, témája:sci-fi, oldaszáma:460, honoránium:499.0 Ft 
Jókai Mór (1825-02-18 00:00:00) - A kőszívű ember fiai (9789636451004) EURÓPA KÖNYVKIADÓ KFT. [2006] ár:758.0 Ft, témája:szépirodalom, oldaszáma:442, honoránium:924.0 Ft 
Gamma Erich (1961-12-31 00:00:00) - Programtervezési minták - Újrahasznosítható elemek objektumközpontú programokhoz (9639301779) Kiskapu - Addison-Wesley [2004] ár:5980.0 Ft, témája:informatika, oldaszáma:421, honoránium:726.0 Ft 
Gamma Erich (1961-12-31 00:00:00) - Design Patterns: Elements of Reusable Object-Oriented Software (9780201633610) Addison-Wesley Professional [1994] ár:5980.0 Ft, témája:informatika, oldaszáma:416, honoránium:445.0 Ft 
Fowler Martin (1963-09-21 00:00:00) - Refactoring - Kódjavítás újratervezéssel (9639637130) Kiskapu Kiadó [2006] ár:5525.0 Ft, témája:informatika, oldaszáma:372, honoránium:846.0 Ft 
Attenborough David (1926-05-08 00:00:00) - Az élet erőpróbái (9638227117) PARK KÖNYVKIADÓ KFT. [1994] ár:1701.0 Ft, témája:természettudomány, oldaszáma:326, honoránium:285.0 Ft 
Attenborough David (1926-05-08 00:00:00) - Az élő bolygó - a föld mai arculata (9635300077) PARK KÖNYVKIADÓ KFT. [1994] ár:2081.0 Ft, témája:természettudomány, oldaszáma:324, honoránium:600.0 Ft 
Asimov Isaac (1920-01-02 00:00:00) - A Hold tragédiája (22222222222) Kozmosz Könyvek [1979] ár:1500.0 Ft, témája:szépirodalom, oldaszáma:310, honoránium:927.0 Ft 
Christie Agatha (1890-09-15 00:00:00) - És eljő a halál... (9789630786430) EURÓPA KÖNYVKIADÓ KFT. [2007] ár:1900.0 Ft, témája:krimi, oldaszáma:292, honoránium:27.0 Ft 
Asimov Isaac (1920-01-02 00:00:00) - A biológia rövid története (11111111111) Gondolat Kiadó [1972] ár:1200.0 Ft, témája:természettudomány, oldaszáma:278, honoránium:514.0 Ft 
Christie Agatha (1890-09-15 00:00:00) - Éjféltájt (9789630786249) EURÓPA KÖNYVKIADÓ KFT. [2008] ár:1900.0 Ft, témája:krimi, oldaszáma:272, honoránium:412.0 Ft 
Christie Agatha (1890-09-15 00:00:00) - Tíz kicsi néger (9789630788984) EURÓPA KÖNYVKIADÓ KFT. [2010] ár:2090.0 Ft, témája:krimi, oldaszáma:266, honoránium:785.0 Ft 
King Stephen (1947-09-21 00:00:00) - Dolores (9600781875) EURÓPA KÖNYVKIADÓ KFT. [2006] ár:2125.0 Ft, témája:thriller, oldaszáma:264, honoránium:985.0 Ft 
Christie Agatha (1890-09-15 00:00:00) - A vád tanúja (963841345X) Hunga-Print [1994] ár:3000.0 Ft, témája:krimi, oldaszáma:254, honoránium:705.0 Ft 
Attenborough David (1926-05-08 00:00:00) - Az első édenkert (9630267217) PARK KÖNYVKIADÓ KFT. [1989] ár:1200.0 Ft, témája:természettudomány, oldaszáma:238, honoránium:273.0 Ft 
Christie Agatha (1890-09-15 00:00:00) - A váratlan vendég (9789635490479) EURÓPA KÖNYVKIADÓ KFT. [2004] ár:1406.0 Ft, témája:krimi, oldaszáma:200, honoránium:835.0 Ft 
Jókai Mór (1825-02-18 00:00:00) - A gyevi törvény - Tanulságos mesék, mondák Mátyás királyról (9789639581197) NAGYKÖNYV KIADÓ [2010] ár:1511.0 Ft, témája:mesekönyv, oldaszáma:48, honoránium:320.0 Ft 
Móra Ferenc (1879-07-19 00:00:00) - A gyevi törvény - Tanulságos mesék, mondák Mátyás királyról (9789639581197) NAGYKÖNYV KIADÓ [2010] ár:1511.0 Ft, témája:mesekönyv, oldaszáma:48, honoránium:869.0 Ft 
Móra Ferenc (1879-07-19 00:00:00) - A nagyhatalmú sündisznócska (9789633468814)  HOLNAP KIADÓ KFT. [2010] ár:1615.0 Ft, témája:mesekönyv, oldaszáma:14, honoránium:828.0 Ft 
